occ,portability,weighted_employment,portability_per_million,occ_title,rank,percentile,rank_per_worker,percentile_per_worker
8225,0.2648996078434382,1960797.5244,0.13509788978568654,Other metal workers and plastic workers,207,60.76190476190476,437,16.952380952380953
2001,0.2641041304921406,758469.0241,0.34820687740745476,Substance abuse and behavioral disorder counselors,208,60.57142857142856,211,60.0
810,0.2615012346444196,422330.4787,0.6191862719673034,Property appraisers and assessors,209,60.38095238095238,72,86.47619047619047
335,0.2593809842191441,294327.5695,0.8812663545578733,Entertainment and recreation managers,210,60.1904761904762,23,95.80952380952381
137,0.25807525627168737,326094.45879999996,0.7914125778812141,Training and development managers,211,60.0,42,92.19047619047619
2040,0.25406181955162704,1876277.4515,0.13540738303309885,Clergy,212,59.8095238095238,436,17.14285714285714
2635,0.2533353504439767,598522.9144,0.42326758817235466,Interior designers,213,59.61904761904761,155,70.66666666666667
7330,0.2508743901105863,2253031.0164,0.11134972767105769,Industrial and refractory machinery mechanics,214,59.42857142857143,460,12.571428571428566
3649,0.2433472643100477,704178.7231999999,0.3455759969631069,Phlebotomists,215,59.23809523809525,215,59.23809523809525
3258,0.23971097469532252,1506353.3905,0.15913329249768932,Nurse practitioners,216,59.04761904761905,405,23.04761904761905
3030,0.23888767233718322,680362.3966,0.3511182768638969,Dietitians and nutritionists,217,58.857142857142854,207,60.76190476190476
2850,0.23861832181956003,1210463.5494,0.19712970451513215,Writers and authors,218,58.666666666666664,343,34.857142857142854
4522,0.23765866847444547,506263.6997,0.46943651819254756,Skincare specialists,219,58.47619047619048,125,76.38095238095238
9122,0.23758268275327776,1227757.2577,0.19350949160614175,"Bus drivers, transit and intercity",220,58.285714285714285,350,33.523809523809526
1825,0.23198823823391357,699031.5829,0.3318708966932337,Other psychologists,221,58.09523809523809,222,57.904761904761905
7010,0.22935810784853172,893728.1599000001,0.2566307274845125,"Computer, automated teller, and office machine repairers",222,57.904761904761905,288,45.333333333333336
3601,0.22899637678745402,3179103.5507,0.07203174515565301,Home health aides,223,57.714285714285715,496,5.714285714285716
1410,0.22556828919106708,1649180.8932,0.13677595351798189,Electrical and electronics engineers,224,57.52380952380952,433,17.714285714285715
1430,0.22505592450797848,1372013.219,0.16403334996437705,"Industrial engineers, including health and safety",225,57.33333333333333,394,25.142857142857146
6330,0.22262303021573443,946335.2331,0.23524753430818282,"Drywall installers, ceiling tile installers, and tapers",226,57.14285714285714,312,40.761904761904766
340,0.2160276235797703,642695.9062,0.3361272749612705,Lodging managers,227,56.952380952380956,219,58.47619047619048
2060,0.21322553844205644,382425.4286,0.5575610890275837,"Religious workers, all other",228,56.761904761904766,85,84.0
4930,0.2111741433572863,264468.335,0.7984855478342474,Sales engineers,229,56.57142857142857,37,93.14285714285714
5250,0.21050885366172178,444031.7344,0.4740851550760733,"Eligibility interviewers, government programs",230,56.38095238095238,122,76.95238095238095
9365,0.21039104590399474,412420.6503,0.5101370306044415,Transportation service attendants,231,56.19047619047619,109,79.42857142857143
1007,0.20963960318146665,1074208.3432,0.19515730305814166,Information security analysts,232,56.00000000000001,349,33.71428571428572
2015,0.2079846519216216,426046.0517,0.4881741095633338,Probation officers and correctional treatment specialists,233,55.80952380952381,119,77.52380952380953
940,0.2076959545917403,597213.7268000001,0.34777491754019124,Tax preparers,234,55.61904761904761,212,59.8095238095238
2830,0.20743252955300173,555001.0349,0.3737516085720037,Editors,235,55.42857142857143,190,64.0
