occ,port_rate,rank,portability_index,portability_minmax,occ_title,weighted_employment
2723,0.00040321858038778617,477,0.09160305343511455,0.02336172978885707,"Umpires, referees, and other sports officials",130949.80010000001
6700,0.00039975492154142574,478,0.08969465648854957,0.023082386375526256,Elevator and escalator installers and repairers,242825.6355
2751,0.00038922764971093617,479,0.08778625954198471,0.02223336394674971,Music directors and composers,218541.0044
7540,0.00038627382770636267,480,0.08587786259541985,0.021995138775700813,Locksmiths and safe repairers,167155.6476
2632,0.0003815198128216536,481,0.08396946564885499,0.02161172839845896,Fashion designers,172335.5392
8256,0.0003791956459235117,482,0.08206106870229013,0.021424284789467368,Print binding and finishing workers,64162.426499999994
6010,0.00037085938007124446,483,0.08015267175572516,0.020751966567350198,Agricultural inspectors,81642.3475
7850,0.0003708066515044742,484,0.0782442748091603,0.020747714018679843,Food cooking machine operators and tenders,74995.4295
8630,0.00036888841116703065,485,0.07633587786259544,0.020593008307979322,Miscellaneous plant and system operators,246648.2853
7040,0.00036871868022068054,486,0.07442748091603058,0.02057931954011723,"Electric motor, power tool, and related repairers",138562.4938
2631,0.0003571342613544947,487,0.0725190839694656,0.01964503840820534,Commercial and industrial designers,80847.9647
1640,0.0003544735338607903,488,0.07061068702290074,0.019430451252540306,Conservation scientists and foresters,151634.251
8850,0.0003511993901899499,489,0.06870229007633588,0.01916639220131212,Adhesive bonding machine operators and tenders,51352.429000000004
8365,0.0003479447315385696,490,0.06679389312977102,0.01890390461311948,"Textile machine setters, operators, and tenders",143224.983
7140,0.0003341645519858443,491,0.06488549618320616,0.017792535808245784,Aircraft mechanics and service technicians,940230.2164
8025,0.00032945476517892204,492,0.06297709923664119,0.017412692416888528,"Other machine tool setters, operators, and tenders, metal and plastic",39987.792
8720,0.00032594528446097453,493,0.06106870229007633,0.01712965347851263,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",112583.2547
6210,0.0003257562163688271,494,0.059160305343511466,0.01711440517359718,Boilermakers,102348.5129
8130,0.0003237141563332062,495,0.057251908396946605,0.016949713428283927,Tool and die makers,211911.5868
1005,0.00032255801669604117,496,0.05534351145038163,0.016856470991064076,Computer and information research scientists,229746.9738
6850,0.0003196030811866954,497,0.05343511450381677,0.016618156016071535,Underground mining machine operators,211737.2241
7830,0.000307382274385452,498,0.05152671755725191,0.015632550320781147,"Food and tobacco roasting, baking, and drying machine operators and tenders",57885.6386
1710,0.0002979266298725496,499,0.04961832061068705,0.014869954427062433,Atmospheric and space scientists,57994.961299999995
1320,0.00029114879259780843,500,0.04770992366412219,0.01432332316708239,Aerospace engineers,926221.7112
6540,0.00028255882528071754,501,0.04580152671755722,0.013630543971094963,Solar photovoltaic installers,130509.3226
9300,0.00026948882055914187,502,0.043893129770992356,0.012576450628440481,Sailors and marine oilers,138378.0275
6740,0.00026751384816470154,503,0.041984732824427495,0.0124171694883603,Rail-track laying and maintenance equipment operators,72125.16709999999
8040,0.00026657240582842915,504,0.040076335877862634,0.012341242346764121,"Metal furnace operators, tenders, pourers, and casters",94990.00899999999
8910,0.0002640513729113012,505,0.03816793893129766,0.012137921531571866,Etchers and engravers,22012.581599999998
